isbn,title,image URL,description
8966185894 9788966185894,"나는 돈이 없어도 경매를 한다 (서른아홉 살, 경매를 만나고 3년 만에 21채 집주인이 되었다!)",https://bookthumb-phinf.pstatic.net/cover/072/740/07274072.jpg?type=m1&udate=20180818,경매를 만나고 삶이 변하기 시작했다!빤한 월급으로 재테크에 뛰어들었지만 재미는커녕 손해를 보고 있는가? 이 책 『나는 돈이 없어도 경매를 한다』는 우연히 만난 경매로 인생을 바꾼 저자의 이야기를 통해 매력적인 투자인 경매에 대해 소개한다. 빌라 전세금 9천만 원이 전재산이던 저자는 경매로 내 집... 
1160506744 9791160506747,만화 경제학 강의,https://bookthumb-phinf.pstatic.net/cover/143/770/14377057.jpg?type=m1&udate=20190117,"경제학은 재미없다?
무슨 소린지 모르겠다?

&lt;만화 경제학 강의&gt;와 함께라면 
킥킥 웃으면서 경제학의 원리를 배운다!"
8975608506 9788975608506,주식투자 무작정 따라하기 2 (ETF편),https://bookthumb-phinf.pstatic.net/cover/060/258/06025801.jpg?type=m1&udate=20101105,"주식 왕초보를 위한, 고수익, 저위험의 투자 ETF 무작정 따라하기주식공부를 시작하려는 왕초보를 위한 주식투자 무작정 따라하기&gt;에 이은 두 번째 책. 주식 투자시 꼭 필요한 이론과 절차를 소개한 전편에 이은 이 책은 '잘못된 종목선정'과 '묻지마 매매'로 번번이 주식투자에 실패하는 왕초보를 위한... "
1160502870 9791160502879,주식 대세판단 무작정 따라하기,https://bookthumb-phinf.pstatic.net/cover/125/834/12583485.jpg?type=m1&udate=20171104,"『주식 대세판단 무작정 따라하기』는 예외와 돌발변수가 넘치는 주식시장에서 시장을 제대로 읽어내기 위해 어떤 경제지표를 보고, 어떻게 해독해야 하는 가에 대한 구체적인 노하우를 알려준다. 먼저 GDP성장률, 금리, 물가, 환율, 국제수지, 시장EPS 등 6가지 우선순위 경제지표를 찾아볼 수 있는 방법부터... "
1160504555 9791160504552,4차 산업혁명 상식사전 (58개 핵심 키워드로 끝내는 4차 산업혁명의 모든 것),https://bookthumb-phinf.pstatic.net/cover/134/960/13496000.jpg?type=m1&udate=20180619,"58개 핵심 키워드로 끝내는 4차 산업혁명의 모든 것!인공지능이 찾아주는 주식 종목, 빅데이터로 분석하는 상품 판매 추이, 코딩 교육 의무화 등 4차 산업혁명은 이미 알게 모르게 경제, 사회, 문화 모든 분야에서 변화를 주도해 나가고 있다. 주목해야 할 점은 이러한 변화가 개별적으로 이뤄지는 것이 아니라... "
1187345113 9791187345114,30분 경제학,https://bookthumb-phinf.pstatic.net/cover/106/517/10651738.jpg?type=m1&udate=20180228,"개념을 정확히 잡아주는 경제학 입문서!

도쿄대학교에서 경제학을 가르친 저자가 지금까지 강의한 내용을 바탕으로 처음 경제학을 배우는 이들에게 적합하도록 바꿔서 쓴 것이다. 비즈니스 현장에서 경제학은 점점 더 그 필요성이 강조되고 있다. 어떤 경제의 움직임이 어떤 의미를 가지고 있는지 이해하기... "
1160501912 9791160501919,1인 카페 무작정 따라하기,https://bookthumb-phinf.pstatic.net/cover/121/261/12126130.jpg?type=m1&udate=20170908,"카페 오픈부터 마감까지, 시간 순서대로 알려주는 1인 카페 운영 노하우!
『1인 카페 무작정 따라하기』는 하루가 멀다 하고 새 카페가 들어서는 서교동 오피스거리에서 나홀로 카페를 운영하는 5년차 젊은 사장의 고군분투 카페 창업&운영 이야기를 소개하는 책이다. 직장생활을 그만두고 창업을 꿈꾸는... "
1160504253 9791160504255,부자가 되려면 부자를 만나라 (진짜 부자들이 알려주지 않는 투자의 비법),https://bookthumb-phinf.pstatic.net/cover/133/776/13377699.jpg?type=m1&udate=20180619,"《부자가 되려면 부자를 만나라》는 현재의 부동산 시장에서 생애 첫 집 마련에 목말라 있는 실수요자들, 이제 막 부동산 투자에 입문하려고 하는 사람들, 부동산을 은퇴준비를 위한 투자의 수단으로 삼은 사람들에게 올바른 투자의 길을 안내해준다. 호황과 불황 속에서 부동산 투자에 나섰던 여러 사례 속에서... "
1160505888 9791160505887,30분 마케팅,https://bookthumb-phinf.pstatic.net/cover/140/939/14093928.jpg?type=m1&udate=20190202,"도쿄대 20년 마케팅 강의를 한 권에 모두 담았다!
《30분 마케팅》명문대의 4년 간 대학 공부를 한 번에 끝내는 &lt;30분 시리즈&gt;
일본에서 누적 판매부수 40만부 이상 팔린 베스트셀러 《30분 경제학》에 이어 《30분 회계학》, 《30분 경영학》 그리고 이번에는 《30분 마케팅》이 출간되었다. 도쿄대학교... "
8966187951 9788966187959,보험상식사전 (보험회사는 감추고 싶은 알토란 정보 대공개),https://bookthumb-phinf.pstatic.net/cover/081/024/08102470.jpg?type=m1&udate=20150715,"모르면 손해, 알면 돈 버는 보험지식!『보험상식사전』은 손해 안 보고, 똑소리 나게 보험 가입하는 법 57가지를 공개한다. 이직이 많은 보험업계에서 10년 넘게 한곳에 몸담아 온 저자 두 명이 그동안 상담했던 수많은 사례와 경험을 통해, 손해 보지 않고 보험에 가입할 수 있는 실전 지식을 전수한다.... "
