isbn,title,image URL,description
8962227754 9788962227758,"기적의 유아영어 (만5세이상,3-7세를 위한 홈스쿨링 영어 활동북,영단어)",https://bookthumb-phinf.pstatic.net/cover/081/018/08101884.jpg?type=m1&udate=20150715,"이 책은 어휘력 향상과 동시에 유아가 익혀야 할 기본 지식 함량과 인지 발달이 동시에 이루어지는 액티비티 북 형태로 개발되었습니다. 영어유치원 커리큘럼에서 다루는 20개 테마에서 영단어를 뽑고, 색칠하기, 오려 붙이기, 선 긋기, 미로 찾기 등 다양한 액티비티를 풀어가는 과정에서 영단어를 익히도록... "
8960472158 9788960472150,시나공 JLPT 일본어능력시험 N2 (문법),https://bookthumb-phinf.pstatic.net/cover/062/717/06271792.jpg?type=m1&udate=20181114,"N2 핵심 문법과 실전 문제를 한방에!시험에 나오는 것만 공부한다!「시나공 JLPT」시리즈『일본어능력시험: N2 문법』. 시험에 잘 나오는 N2 핵심 문법 175개를 철저하게 분석한 교재로, 핵심을 콕 짚어 설명하고 정답을 찾는 순서와 요령을 공개한다. 총 다섯 마당으로 구성되어 있으며, 신... "
8962227177 9788962227178,"기적의 한자 학습 기초편 3 (상징으로 기억하는 한자 1, 초등 저학년용)",https://bookthumb-phinf.pstatic.net/cover/078/846/07884659.jpg?type=m1&udate=20150715,한자의 생성 원리에 따라 쉽고 재미있게 배우는 우리 아이 초등 한자 능력 향상 프로그램『기적의 한자 학습 기초편』제3권.  ‘사물의 모양을 나타낸 상형자 → 추상적인 개념을 가리키는 지사자 → 뜻과 뜻을 합친 회의자 → 음과 뜻을 합친 형성자’의 순으로 구성하여 한자 학습을 도운 책이다. 음을 쉽게 아는... 
8955824505 9788955824506,움직이는 페이퍼 토이 1 (점프하고 구르고 변신하는 캐릭터),https://bookthumb-phinf.pstatic.net/cover/134/646/13464615.jpg?type=m1&udate=20180419,"2017년 일본 아마존 실용분야 1위!과학과 수학의 원리를 바탕으로 탄생한 3D 장난감 만들기!- 만들기 전 과정을 동영상으로 제공합니다 _ WWW.GILBUTKID.CO.KR/PAPERTOY이런 종이접기를 해 본 적 있나요? 납작한 종이 모형이 바닥에 닿는 순간 공중으로 점프하며 펭귄으로 변신하고, 토끼는 손가락으로 튕기기만 해도... "
8955824750 9788955824759,코딱지가 보낸 편지,https://bookthumb-phinf.pstatic.net/cover/140/075/14007542.jpg?type=m1&udate=20180912,"“있잖아, 코딱지가 할 말 있대!”&#x0D;세상 모든 코딱지 파먹기 대장들에게 보내는 배꼽 빠지게 웃긴 코딱지 편지! &#x0D;&#x0D;아이들은 때와 장소를 가리지 않고 틈만 나면 코딱지를 팝니다. 후비적후비적! 코딱지를 파낸 다음에는 손가락으로 만지작거리고 동글동글 굴리고, 급기야는 입안에 넣고 꿀꺽!... "
8962229668 9788962229660,기적의 영어 리딩 80 Book 2,https://bookthumb-phinf.pstatic.net/cover/113/150/11315020.jpg?type=m1&udate=20161125,"[기적의 영어리딩 80 BOOK]은 리딩 첫걸음부터 완성까지, 초등학생의 영어 성장을 이끄는 단계별 리딩 학습서다. 책은 교과 연계 주제와 흥미로운 소재의 글감을 골고루 담았다. ‘끊어 읽기’ 연습으로 빠르고 정확한 독해 실력을 기를 수 있도록 안내하고, 리딩 지문에 등장한 초등 필수 어휘 160개(권당)를... "
1160506558 9791160506556,"시나공 한국사능력검정시험 기출문제의 재구성 중급 3,4급 (2019)",https://bookthumb-phinf.pstatic.net/cover/143/312/14331208.jpg?type=m1&udate=20181205,"2019 시나공 한국사능력검정시험 중급 기출문제의 재구성

시험에 나오는 것만 공부한다. 
최소한의 기초 지식을 이용하여 정답을 찾는 비법을 시나공에서 만나보세요!

★광범위한 한국사, 과연 문제만 많이 푼다고 답일까요? 문제 하나를 풀더라도 정확하게 주제를 분석하여 비슷한 유형의 모든 문제를 이해할... "
1160502560 9791160502565,"시나공 워드프로세서 실기 (2018,자동 채점 프로그램)",https://bookthumb-phinf.pstatic.net/cover/126/578/12657843.jpg?type=m1&udate=20190710,"2018년 확~바뀐 출제유형 100% 반영!시험에 꼭 나오는 기능만 17가지로 압축하여 따라하기 형식으로 구성하였으며, 상공회의소에서 출제기준으로 공지한 A, B, C형을 완벽하게 분석하여 각 형에 사용된 기능을 모두 익힐 수 있도록 구성되었습니다. [연습문제]를 배치하여 앞에서 배운 기능을 확실히 익힐 수... "
8962220741 9788962220742,기적의 유아 수학 1단계 3 (1~10까지 수 세기),https://bookthumb-phinf.pstatic.net/cover/047/253/04725336.jpg?type=m1&udate=20180619,"수학을 놀이처럼!'기적의 학습법' 시리즈, 『기적의 생각 수학』 제1-3단계 &lt;1부터 10까지 수 세기&gt;. '구조적 수 세기'를 핵심 주제로 삼아 총3단계로 이루어진 유아 수학 프로그램입니다.

모든 수학 공부의 핵심 원리인 '수 세기'를 중점적으로 다룹니다. 수학의 기본 원리인 수의 의미와 구조를 깨칠 뿐... "
8962226529 9788962226522,"기적의 영어 패턴 익히기 2 (일반동사 패턴 1, 읽기가 수월해지고 쓰기가 만만해지는 초등영어 핵심 패턴 200)",https://bookthumb-phinf.pstatic.net/cover/073/854/07385419.jpg?type=m1&udate=20161027,문법을 몰라도 쉽고 빠르게 문장이 완성되는 패턴 학습!읽기가 수월해지고 쓰기가 만만해지는 초등영어 핵심 패턴 200 『기적의 영어패턴 익히기』 제2권 《일반동사 패턴(1)》. 이해하기 어려운 문법 용어와 씨름하다 보면 아이들은 오히려 문법과 영작에 거부감을 갖게 되는 경우가 있다. 패턴 학습의 경우... 
8962227444 9788962227444,중학 필수 영단어 무작정 따라하기 (한 권으로 꼭 알아야 할 단어만 확실히 외우고 중학교 단어 완성!),https://bookthumb-phinf.pstatic.net/cover/127/123/12712332.jpg?type=m1&udate=20171109,"꼭 알아야 할 중학교 필수 어휘를 한 권에 모두 담았다![중학 필수 영단어 무작정 따라하기]는 한 권으로 중학교에서 꼭 알아야 할 필수 어휘 1,200개를 학습할 수 있는 교재입니다. 중학교 교과서와 학교 시험을 분석하여 자주 나오는 빈출 어휘만 선별해 수록하였습니다. 발음 듣기부터 단어 복습까지 가능한... "
1187345113 9791187345114,30분 경제학,https://bookthumb-phinf.pstatic.net/cover/106/517/10651738.jpg?type=m1&udate=20180228,"개념을 정확히 잡아주는 경제학 입문서!

도쿄대학교에서 경제학을 가르친 저자가 지금까지 강의한 내용을 바탕으로 처음 경제학을 배우는 이들에게 적합하도록 바꿔서 쓴 것이다. 비즈니스 현장에서 경제학은 점점 더 그 필요성이 강조되고 있다. 어떤 경제의 움직임이 어떤 의미를 가지고 있는지 이해하기... "
1160505861 9791160505863,쇼핑몰 디자인 무작정 따라하기 (포토샵으로 완성하는 쇼핑몰 운영에 필요한 모든 디자인),https://bookthumb-phinf.pstatic.net/cover/140/682/14068205.jpg?type=m1&udate=20181114,"생계형 쇼핑몰 운영에 필요한 &#x0D;실전 포토샵 디자인부터 솔루션 세팅 및 코딩 노하우 &#x0D;&#x0D;보통 1인 창업으로 시작하는 쇼핑몰은 혼자서 소소한 관리부터 로고, 아이콘, 배너, 팝업 창, 상세페이지 디자인 및 간단한 코딩까지 담당한다. 쇼핑몰 디자인은 포토샵에서 고객이 상품 이미지를 쉽게 알아볼... "
